date,open,high,low,close,daily_ret
2018-04-03,10837.54,10837.54,10775.45,10821.53,-0.0014772725175640211
2018-04-09,10880.14,10904.75,10829.02,10893.53,0.0012306826934214143
2018-04-10,10885.64,10975.67,10874.83,10927.18,0.0038160365398820506
2018-04-11,10961.7,11016.35,10953.31,10974.02,0.0011239132616291947
2018-04-12,10984.12,11008.2,10920.62,10955.29,-0.002624698200675124
2018-04-13,10975.58,10988.23,10938.37,10965.39,-0.0009284247392848943
2018-04-16,10962.36,10974.94,10921.17,10954.55,-0.0007124378327295622
2018-04-17,10953.51,10965.2,10799.07,10810.45,-0.013060653616968398
2018-04-18,10842.88,10917.6,10809.89,10847.89,0.00046205436194068916
2018-04-19,10891.66,10983.96,10889.71,10971.22,0.007304671647847982
2018-04-20,10802.42,10831.56,10770.05,10779.38,-0.0021328554157310498
2018-04-23,10756.89,10774.73,10687.25,10697.13,-0.005555509073719267
2018-04-24,10680.38,10692.19,10540.15,10579.5,-0.009445356813147066
2018-04-25,10541.83,10573.73,10489.2,10559.97,0.0017207638521963275
2018-04-26,10583.08,10618.68,10478.98,10488.58,-0.008929347600131532
2018-04-27,10546.29,10573.61,10495.67,10553.43,0.0006770153295614367
2018-04-30,10553.41,10660.61,10539.63,10657.88,0.00989917003129781
2018-05-02,10665.52,10683.9,10601.1,10618.81,-0.004379533299829874
2018-05-03,10578.98,10578.98,10509.03,10514.18,-0.0061253542402007755
2018-05-04,10516.45,10566.37,10500.97,10529.37,0.0012285514598557867
2018-05-07,10581.78,10632.62,10555.56,10604.91,0.0021858326292929497
2018-05-08,10610.44,10691.38,10609.04,10691.38,0.007628335865430547
2018-05-09,10692.89,10748.6,10689.81,10703.35,0.0009782201070058782
2018-05-10,10731.68,10782.06,10731.68,10760.21,0.00265848403977742
2018-05-11,10808.4,10874.63,10808.4,10858.98,0.004679693571666421
2018-05-14,10938.3,10970.24,10908.86,10952.39,0.0012881343536015333
2018-05-15,10965.08,10978.38,10874.73,10874.73,-0.008239793964111564
2018-05-16,10873.54,10915.74,10865.07,10897.57,0.0022099518648019956
2018-05-17,10911.74,10938.63,10833.81,10833.81,-0.007141849054321359
2018-05-18,10844.09,10893.35,10819.07,10830.84,-0.001221863706405979
2018-05-21,10861.66,10979.1,10861.66,10966.2,0.009624679837151984
2018-05-22,10986.77,11034.12,10938.73,10938.73,-0.004372531690387649
2018-05-23,10974.52,10991.86,10886.18,10886.18,-0.008049554786906388
2018-05-24,10910.61,10942.64,10883.52,10936.93,0.0024123307496097812
2018-05-25,10946.62,10977.81,10918.12,10942.3,-0.00039464236449260337
2018-05-28,10976.49,10999.43,10965.18,10987.77,0.0010276509157298719
2018-05-29,10979.68,10986.53,10929.56,10964.12,-0.0014171633417366936
2018-05-30,10925.21,10925.21,10799.75,10821.17,-0.009522929078708664
2018-05-31,10856.03,10909.61,10853.65,10874.96,0.0017437313640435992
2018-06-01,10882.68,10954.67,10876.97,10949.08,0.006101438248666602
2018-06-04,11002.15,11109.5,11002.15,11109.5,0.009757183823161819
2018-06-05,11130.03,11131.08,11054.62,11100.11,-0.0026882227631013222
2018-06-06,11111.14,11207.15,11111.14,11201.83,0.008162078778595205
2018-06-07,11228.64,11261.68,11188.99,11251.75,0.0020581299249062823
2018-06-08,11243.59,11243.59,11122.98,11156.42,-0.007752861852842408
2018-06-11,11168.99,11186.67,11118.81,11149.23,-0.001769184142881297
2018-06-12,11140.02,11160.05,11088.53,11144.79,0.00042818594580618097
2018-06-13,11153.2,11188.01,11119.24,11173.21,0.001794103934296798
2018-06-14,11143.04,11143.04,11013.98,11013.98,-0.011582117626787736
2018-06-15,10998.2,11087.47,10981.61,11087.47,0.00811678274626737
2018-06-19,11008.77,11008.77,10904.19,10904.19,-0.009499698876441198
2018-06-20,10904.8,10969.2,10842.56,10927.44,0.002076149952314754
2018-06-21,10949.85,10992.31,10941.07,10941.07,-0.0008018374680932583
2018-06-22,10901.25,10914.83,10828.86,10899.28,-0.00018071322096080422
2018-06-25,10834.07,10851.16,10786.46,10786.46,-0.004394470406781648
2018-06-26,10730.9,10752.99,10651.42,10742.17,0.001050238097456857
2018-06-27,10766.88,10800.34,10701.03,10701.03,-0.006115977887744539
2018-06-28,10669.42,10723.84,10633.01,10654.28,-0.001419008718374526
2018-06-29,10667.64,10836.91,10667.64,10836.91,0.015867614580169498
2018-07-02,10852.17,10886.2,10777.94,10777.94,-0.006840106633051235
2018-07-03,10802.88,10873.48,10707.68,10715.72,-0.008068218845344921
2018-07-04,10714.25,10752.05,10680.44,10721.87,0.0007112023706745685
2018-07-05,10690.91,10709.8,10585.27,10611.81,-0.007398808894659159
2018-07-06,10645.66,10665.72,10523.58,10608.57,-0.0034840488988000518
2018-07-09,10638.9,10746.74,10638.9,10720.28,0.00764928705035306
2018-07-10,10737.62,10776.47,10728.24,10756.89,0.0017946248796287811
2018-07-11,10693.64,10693.64,10635.03,10676.84,-0.0015710272648040702
2018-07-12,10644.91,10752.57,10643.65,10738.38,0.008780722429780896
2018-07-13,10769.7,10864.54,10769.7,10864.54,0.008806187730391768
2018-07-16,10867.97,10890.2,10817.45,10817.45,-0.004648522217120421
2018-07-17,10802.75,10818.84,10758.83,10778.99,-0.0021994399574182255
2018-07-18,10811.43,10872.74,10788.37,10842.46,0.002870110614414445
2018-07-19,10868.56,10896.25,10826.14,10835.38,-0.0030528423268584293
2018-07-20,10932.51,10963.95,10893.73,10932.11,-3.658812111762e-05
2018-07-23,10929.46,10984.84,10901.75,10946.89,0.001594772294331026
2018-07-24,10937.77,10995.39,10917.61,10995.39,0.005267984241760448
2018-07-25,10957.66,10992.29,10956.0,10965.79,0.0007419467295024518
2018-07-26,10969.35,11018.19,10966.33,11010.61,0.003761389690364547
2018-07-27,11023.07,11075.78,11009.16,11075.78,0.004781789465185371
2018-07-30,11072.7,11080.41,11001.15,11033.54,-0.0035366261164846424
2018-07-31,10997.73,11057.51,10976.46,11057.51,0.005435667178590453
2018-08-01,11062.36,11100.02,11058.28,11098.13,0.0032334872486521338
2018-08-02,11095.67,11095.67,10919.13,10929.77,-0.014951778486562706
2018-08-03,10957.3,11012.43,10957.3,11012.43,0.005031348963704607
2018-08-06,10997.26,11054.49,10994.97,11024.1,0.0024406079332488506
2018-08-07,11024.97,11030.09,10983.44,10983.44,-0.0037669036741142525
2018-08-08,11026.07,11095.5,11026.07,11075.25,0.00446033808963664
2018-08-09,11063.62,11063.62,11001.96,11028.07,-0.0032132340047833496
2018-08-10,11009.96,11033.89,10972.25,10983.68,-0.0023869296527869732
2018-08-13,10939.68,10939.68,10693.73,10748.92,-0.017437438755064205
2018-08-14,10797.95,10829.85,10755.53,10824.23,0.0024337953037381066
2018-08-15,10827.28,10827.28,10688.59,10716.75,-0.010208473411604801
2018-08-16,10663.57,10725.71,10606.26,10683.9,0.0019064909781620898
2018-08-17,10702.6,10757.01,10688.55,10690.96,-0.0010875861940090603
2018-08-20,10698.76,10729.9,10663.44,10699.05,2.7105944987892983e-05
2018-08-21,10697.01,10792.2,10697.01,10792.2,0.008898748341826357
2018-08-22,10790.24,10828.21,10774.69,10804.2,0.0012937617698958181
2018-08-23,10817.33,10863.13,10802.79,10863.13,0.004233946824216295
2018-08-24,10865.91,10865.91,10770.32,10809.35,-0.005205270428339626
2018-08-27,10847.17,10916.69,10847.17,10902.21,0.005074134543848752
2018-08-28,10946.33,11005.55,10946.33,10989.55,0.0039483552935093424
2018-08-29,11029.12,11099.57,11029.11,11099.57,0.006387635640921374
2018-08-30,11153.97,11186.05,11080.07,11093.75,-0.00539897453552407
2018-08-31,11037.26,11063.94,10987.68,11063.94,0.0024172666042114876
2018-09-03,11087.86,11097.11,10952.85,10964.22,-0.01115093444542059
2018-09-04,10981.39,11028.27,10956.49,11021.38,0.0036416154967631176
2018-09-05,11042.41,11058.06,10989.93,10995.13,-0.0042816740186246705
2018-09-06,11016.92,11016.92,10905.34,10924.3,-0.008407068400242634
2018-09-07,10922.55,10922.55,10807.56,10846.99,-0.006917798499434635
